player,net_bb,hands,bb_per_100,se_bb_per_100
P/zDZJTVpUjPsgFXg0x3YQ,2516.3,5406,46.54642989271181,21.34779689188831
NQlky8nZVRbU5k7THfro4Q,2795.1000000000004,7516,37.18866418307611,10.052031806750803
g307xB7wKFH61icGrrYAiQ,2055.3333333333335,5542,37.08649103813305,16.577830011207876
LMKQuTqrRNzCSRb88F3aJA,3707.0,10305,35.97282872392043,10.503320252299762
5QqvJxfddUJ5IwSnVRIjCg,2671.2000000000003,8212,32.528007793472966,14.859623689349785
kxPhs4ePFqMy52CInAJ2aw,2071.7000000000003,6423,32.25439825626655,10.017194515041187
TJGE2D/VfAKhpVYgdlDtPg,1670.0000000000002,5366,31.12187849422289,11.848622304005463
VhZ0CgdhPFPUjo40ZxBiHA,1566.0,5326,29.402929027412693,15.26316743526214
GoE4OgvAJYAJ0+pC7h7/Xw,2550.9333333333334,8817,28.93198744848966,10.596860682116361
UNrNMU4+48eEhNGrSNJz6w,1871.4,6516,28.720073664825048,8.186492239858923
NYyjrNkDFuhf32Bs/a+JAQ,1517.8000000000002,5412,28.045084996304514,9.576010398947645
VJeb5WusWFrWmbPbNcZKdg,1749.5,6935,25.22710886806056,11.466518685197203
mWNx4+Bcn8ESx2Ntog0QHA,1371.2000000000003,5459,25.118153507968497,10.094009826746676
J6jNYUqSDDfMFxgGb9+9/A,1257.8000000000002,5038,24.96625645097261,12.138787516139445
XqDhBhzbV6vG1W3JdSfBmg,2410.4,10169,23.703412331596027,6.122919820961922
TcCscE4gmusSea90KGg7lA,1589.2,6784,23.42570754716981,10.755561433244587
N45yKUum6XByM42YNP9M4g,2477.3333333333335,10695,23.163472027427147,7.961614937788529
WhufT37XOBSESV7BWADa2w,1585.8,6864,23.103146853146853,6.87639864164709
OaecF17XbGCnRgAzPOqrSw,1254.5000000000002,5465,22.955169258920407,9.378248141659757
9HJloui7Vaaybyxi5P6+Yw,1133.2333333333336,5272,21.495321193727875,9.730376131662053
cQf+oFUAfaBE78ZF2hSPAg,1108.9,5338,20.773698014237546,9.18594585205426
hIss79a4pu7GzJZepfgOpg,2188.166666666667,10863,20.14329988646476,6.9507053137627555
HQOd2gJtxWvb8iXKxBX1oA,1286.6,6406,20.084295972525755,9.84714354016077
zb6GGXeSmPSOXVd31OgY/Q,1341.0,6695,20.029873039581776,9.15485326361803
abW2Wd34wUQ5LePiYP4zvw,1046.0,5256,19.901065449010655,14.685404049163624
AdEUdPCON7AjYpJKlit09g,1600.3000000000002,8135,19.671788567916416,11.989330231258343
kKk4K4eFDju6xKjKPQqe4w,988.2,5070,19.49112426035503,10.603165226910969
85L4omfonYPm5LTutvF7bQ,1438.8,7568,19.011627906976745,7.864469983873404
E0iYnEVO2ho7dH3QcCjw7g,1152.0,6162,18.6952288218111,7.329749425476158
HlYJp1b+iQcyFzqkP7cJVA,1358.9,7269,18.694455908653186,9.36233042502165
