bettor_archetype,defender_archetype,hand,avg_ev_bb,n_boards_used
Nit,Nit,J7o,1.527739789463734,8
Nit,Nit,Q5o,1.541366726978772,8
Nit,Nit,J4o,1.5096669280379535,8
Nit,Nit,98s,1.5257879204297498,8
Nit,Nit,T9s,1.534209873854163,8
Nit,Nit,K2o,1.5586082367789666,8
Nit,Nit,Q4o,1.5187033587508436,8
Nit,Nit,22,1.545812650889514,8
Nit,Nit,98o,1.5187033587508438,8
Nit,Nit,Q2s,1.5422161514657837,8
Nit,Nit,T8o,1.5187033587508436,8
Nit,Nit,Q3o,1.536776220176624,8
Nit,Nit,J6o,1.5277397894637337,8
Nit,Nit,J5o,1.5359629414124638,8
Nit,Nit,J2s,1.5326917534943978,8
Nit,Nit,T4s,1.534625549666956,8
Nit,Nit,T3s,1.5248300587741832,8
Nit,Nit,97o,1.5187033587508438,8
Nit,Nit,87s,1.5348243511426398,8
Nit,Nit,96o,1.5277397894637337,8
Nit,Nit,T4o,1.5187033587508436,8
Nit,Nit,T5s,1.548125977152014,8
Nit,Nit,T6s,1.526149377658265,8
Nit,Nit,85s,1.5426318272785766,8
Nit,Nit,J3o,1.527739789463734,8
Nit,Nit,76s,1.5475657184478149,8
Nit,Nit,95s,1.5477464470620728,8
Nit,Nit,T7o,1.536776220176624,8
Nit,Nit,T2s,1.541312508394495,8
Nit,Nit,T5o,1.5410233426116824,8
Nit,Nit,93s,1.5252276617255505,8
Nit,Nit,95o,1.5409871968888307,8
Nit,Nit,75s,1.5562226190707635,8
Nit,Nit,Q2o,1.536776220176624,8
Nit,Nit,87o,1.527739789463734,8
Nit,Nit,86s,1.5204202805862927,8
Nit,Nit,94s,1.5348424240040655,8
Nit,Nit,85o,1.5361255971652958,8
Nit,Nit,92s,1.5412582898102172,8
Nit,Nit,T3o,1.536776220176624,8
Nit,Nit,86o,1.5277397894637337,8
Nit,Nit,T6o,1.536776220176624,8
Nit,Nit,93o,1.536776220176624,8
Nit,Nit,J2o,1.536776220176624,8
Nit,Nit,65s,1.542035422851526,8
Nit,Nit,76o,1.5411859983645144,8
Nit,Nit,74s,1.542939065922815,8
Nit,Nit,73s,1.534390602468421,8
Nit,Nit,83s,1.5162815953197892,8
Nit,Nit,84o,1.5096669280379535,8
Nit,Nit,T2o,1.536776220176624,8
Nit,Nit,84s,1.525661410399769,8
Nit,Nit,54s,1.5524092453099239,8
Nit,Nit,53s,1.5393425664990845,8
Nit,Nit,75o,1.5504031576916624,8
Nit,Nit,64s,1.5386738706263308,8
Nit,Nit,92o,1.5458126508895143,8
Nit,Nit,82s,1.5349689340340458,8
Nit,Nit,74o,1.527739789463734,8
Nit,Nit,64o,1.5238902699800425,8
Nit,Nit,43s,1.525589118954066,8
Nit,Nit,82o,1.536776220176624,8
Nit,Nit,94o,1.5187033587508438,8
Nit,Nit,65o,1.5363243986409794,8
Nit,Nit,73o,1.5458126508895143,8
Nit,Nit,72s,1.5508007606430296,8
Nit,Nit,63s,1.523456521305824,8
Nit,Nit,53o,1.5571262621420525,8
Nit,Nit,32s,1.5411137069188112,8
Nit,Nit,83o,1.527739789463734,8
Nit,Nit,62s,1.554794863018127,8
Nit,Nit,42s,1.5414751641473265,8
Nit,Nit,52s,1.5549936644938103,8
Nit,Nit,62o,1.5499874818788693,8
Nit,Nit,72o,1.5548490816024043,8
Nit,Nit,54o,1.5501139919088498,8
Nit,Nit,63o,1.5365051272552372,8
Nit,Nit,32o,1.536776220176624,8
Nit,Nit,52o,1.5601082842773062,8
Nit,Nit,42o,1.545812650889514,8
Nit,Nit,43o,1.536776220176624,8
Nit,TAG,AA,1.672721590950577,8
Nit,TAG,KK,1.6765557029805351,8
Nit,TAG,QQ,1.5948037123512373,8
Nit,TAG,JJ,1.6268757869146315,8
Nit,TAG,TT,1.5895522508504887,8
Nit,TAG,99,1.5746155679660072,8
Nit,TAG,88,1.615900414089538,8
Nit,TAG,AKs,1.6378148174456022,8
Nit,TAG,77,1.5927867150274204,8
Nit,TAG,AKo,1.6372515118866984,8
Nit,TAG,AJo,1.613174742030326,8
Nit,TAG,AQo,1.6126477787655449,8
Nit,TAG,AQs,1.6109578620888336,8
Nit,TAG,A9o,1.5927867150274204,8
Nit,TAG,A7o,1.6291290091502468,8
Nit,TAG,KJs,1.6084865860884814,8
Nit,TAG,QJs,1.5920962114390869,8
Nit,TAG,A7s,1.6291290091502468,8
Nit,TAG,A9s,1.6109578620888336,8
Nit,TAG,KTo,1.6289472976796326,8
Nit,TAG,A8o,1.5927867150274204,8
Nit,TAG,AJs,1.5954760447925096,8
Nit,TAG,ATs,1.6109578620888336,8
Nit,TAG,K9s,1.6261852833262977,8
Nit,TAG,55,1.6721219430975505,8
Nit,TAG,66,1.5927867150274204,8
Nit,TAG,KQs,1.6192802474429608,8
Nit,TAG,A8s,1.5927867150274204,8
Nit,TAG,ATo,1.6123570404125624,8
Nit,TAG,A5s,1.6388324016810414,8
Nit,TAG,QTs,1.650062170564995,8
Nit,TAG,K8s,1.608377559206113,8
Nit,TAG,KTs,1.625894544973315,8
Nit,TAG,A4s,1.6390504554457783,8
Nit,TAG,KJo,1.6434842153287632,8
Nit,TAG,K5s,1.6291290091502468,8
Nit,TAG,A6s,1.5927867150274204,8
Nit,TAG,K9o,1.6082685323237444,8
Nit,TAG,A3s,1.5927867150274204,8
Nit,TAG,44,1.596457286733826,8
Nit,TAG,KQo,1.6300012242091946,8
Nit,TAG,K7s,1.644138376622974,8
Nit,TAG,Q8s,1.5942404067923335,8
Nit,TAG,A5o,1.6394138783870067,8
Nit,TAG,Q5s,1.6439566651523598,8
Nit,TAG,A4o,1.6214244427962077,8
Nit,TAG,Q9o,1.5746155679660072,8
Nit,TAG,QTo,1.632617869386038,8
Nit,TAG,Q9s,1.6131383997362032,8
Nit,TAG,A6o,1.6291290091502468,8
Nit,TAG,A2s,1.6469730755645544,8
Nit,TAG,JTs,1.5930047687921574,8
Nit,TAG,K4o,1.6076870556177791,8
Nit,TAG,K6s,1.6277480019735793,8
Nit,TAG,K8o,1.6076143710295334,8
Nit,TAG,K7o,1.643084450093412,8
Nit,TAG,J9o,1.577813689848816,8
Nit,TAG,J8s,1.592677688145052,8
Nit,TAG,JTo,1.5901700698505767,8
Nit,TAG,K4s,1.6133564535009401,8
Nit,TAG,K2s,1.65733062938956,8
Nit,TAG,K6o,1.6421395504462186,8
Nit,TAG,J9s,1.5980563476752303,8
Nit,TAG,K3s,1.6274209213264739,8
Nit,TAG,A3o,1.6109578620888336,8
Nit,TAG,Q6s,1.5963482598514573,8
Nit,TAG,QJo,1.6109578620888336,8
Nit,TAG,33,1.6471184447410459,8
Nit,TAG,Q3s,1.5948582257924215,8
Nit,TAG,J7s,1.612375211559624,8
Nit,TAG,Q6o,1.5927867150274204,8
Nit,TAG,Q7s,1.6322181041506871,8
Nit,TAG,J5s,1.6421032081520959,8
Nit,TAG,J6s,1.591841815380227,8
Nit,TAG,T9o,1.5746155679660072,8
Nit,TAG,Q7o,1.6109578620888336,8
Nit,TAG,A2o,1.6741934538625516,8
Nit,TAG,K5o,1.64730015621166,8
Nit,TAG,K3o,1.664453719037634,8
Nit,TAG,Q8o,1.5746155679660072,8
Nit,TAG,T7s,1.6332356883861263,8
Nit,TAG,J8o,1.5725077149068833,8
Nit,TAG,97s,1.596857051969177,8
Nit,TAG,T8s,1.5964936290279488,8
Nit,TAG,Q4s,1.614410380030502,8
Nit,TAG,J4s,1.5936952723804911,8
Nit,TAG,J3s,1.5766507364368856,8
Nit,TAG,96s,1.5963482598514573,8
Nit,TAG,J7o,1.5927867150274204,8
Nit,TAG,Q5o,1.622187630972787,8
Nit,TAG,J4o,1.556444420904594,8
Nit,TAG,98s,1.5969297365574227,8
Nit,TAG,T9s,1.6143376954422566,8
Nit,TAG,K2o,1.660092643742895,8
Nit,TAG,Q4o,1.5746155679660072,8
Nit,TAG,22,1.6291290091502468,8
Nit,TAG,98o,1.5746155679660072,8
Nit,TAG,Q2s,1.6213154159138392,8
Nit,TAG,T8o,1.5746155679660072,8
Nit,TAG,Q3o,1.6109578620888336,8
Nit,TAG,J6o,1.5927867150274204,8
Nit,TAG,J5o,1.6202251470901543,8
Nit,TAG,J2s,1.6038347724407596,8
Nit,TAG,T4s,1.614882829854099,8
Nit,TAG,T3s,1.5965663136161945,8
Nit,TAG,97o,1.5746155679660072,8
Nit,TAG,87s,1.6144830646187478,8
Nit,TAG,96o,1.5927867150274204,8
Nit,TAG,T4o,1.5746155679660072,8
Nit,TAG,T5s,1.645010591681922,8
Nit,TAG,T6s,1.5971114480280368,8
Nit,TAG,85s,1.643302503858149,8
Nit,TAG,J3o,1.5927867150274204,8
Nit,TAG,76s,1.64395666515236,8
Nit,TAG,95s,1.6448652225054305,8
Nit,TAG,T7o,1.6109578620888336,8
Nit,TAG,T2s,1.62171518114919,8
Nit,TAG,T5o,1.6235322958553315,8
Nit,TAG,93s,1.5970387634397911,8
Nit,TAG,95o,1.62338692667884,8
Nit,TAG,75s,1.6622368390961417,8
Nit,TAG,Q2o,1.6109578620888336,8
Nit,TAG,87o,1.5927867150274204,8
Nit,TAG,86s,1.5919144999684727,8
Nit,TAG,94s,1.6142650108540109,8
Nit,TAG,85o,1.6226600807963838,8
Nit,TAG,92s,1.621751523443313,8
Nit,TAG,T3o,1.6109578620888336,8
Nit,TAG,86o,1.5927867150274204,8
Nit,TAG,T6o,1.6109578620888336,8
Nit,TAG,93o,1.6109578620888336,8
Nit,TAG,J2o,1.6109578620888336,8
Nit,TAG,65s,1.641449046857885,8
Nit,TAG,76o,1.6218242080315586,8
Nit,TAG,74s,1.632872265444898,8
Nit,TAG,73s,1.613574507265677,8
Nit,TAG,83s,1.5781044282017986,8
Nit,TAG,84o,1.556444420904594,8
Nit,TAG,T2o,1.6109578620888336,8
Nit,TAG,84s,1.5974021863810193,8
Nit,TAG,54s,1.6510434125063111,8
Nit,TAG,53s,1.6252767259732273,8
Nit,TAG,75o,1.6415580737402533,8
Nit,TAG,64s,1.6243681686201565,8
Nit,TAG,92o,1.6291290091502468,8
Nit,TAG,82s,1.6090317205003237,8
Nit,TAG,74o,1.5927867150274204,8
Nit,TAG,64o,1.5859180214382063,8
Nit,TAG,43s,1.5971841326162823,8
Nit,TAG,82o,1.6109578620888336,8
Nit,TAG,94o,1.5746155679660072,8
Nit,TAG,65o,1.619861724148926,8
Nit,TAG,73o,1.6291290091502468,8
Nit,TAG,72s,1.6403587780342002,8
Nit,TAG,63s,1.5995827240283889,8
Nit,TAG,53o,1.663617846272809,8
Nit,TAG,32s,1.6268394446205086,8
Nit,TAG,83o,1.5927867150274204,8
Nit,TAG,62s,1.6534783462125404,8
Nit,TAG,42s,1.622187630972787,8
Nit,TAG,52s,1.6544595881538569,8
Nit,TAG,62o,1.639123140034024,8
Nit,TAG,72o,1.64730015621166,8
Nit,TAG,54o,1.6412673353872707,8
Nit,TAG,63o,1.6138652456186597,8
Nit,TAG,32o,1.6109578620888336,8
Nit,TAG,52o,1.6594748247428068,8
Nit,TAG,42o,1.6291290091502468,8
Nit,TAG,43o,1.6109578620888336,8
Nit,LAG,AA,1.9539850121734736,8
Nit,LAG,KK,1.997456404602302,8
Nit,LAG,QQ,1.766846598028494,8
Nit,LAG,JJ,1.8061410239250146,8
Nit,LAG,TT,1.6917127679350146,8
Nit,LAG,99,1.6295739448309363,8
Nit,LAG,88,1.751273216636434,8
Nit,LAG,AKs,1.823880239815308,8
Nit,LAG,77,1.6697450180243614,8
Nit,LAG,AKo,1.8190328959383089,8
Nit,LAG,AJo,1.757255045250603,8
Nit,LAG,AQo,1.750912244220062,8
Nit,LAG,AQs,1.7412175564660646,8
Nit,LAG,A9o,1.6844417521195165,8
Nit,LAG,A7o,1.783554464157723,8
Nit,LAG,KJs,1.7443631732373088,8
Nit,LAG,QJs,1.6834619698465065,8
Nit,LAG,A7s,1.7878345656661372,8
Nit,LAG,A9s,1.7365249150532258,8
Nit,LAG,KTo,1.7917021272701255,8
Nit,LAG,A8o,1.6890312585562497,8
Nit,LAG,AJs,1.740340909169161,8
Nit,LAG,ATs,1.7402893416811076,8
Nit,LAG,K9s,1.7974776859320811,8
Nit,LAG,55,1.9423823273615088,8
Nit,LAG,66,1.6739219845566686,8
Nit,LAG,KQs,1.7504481368275835,8
Nit,LAG,A8s,1.6872779639624413,8
Nit,LAG,ATo,1.7609679043904318,8
Nit,LAG,A5s,1.8127416623958212,8
Nit,LAG,QTs,1.8328529827365605,8
Nit,LAG,K8s,1.7376593997903957,8
Nit,LAG,KTs,1.7889174829152537,8
Nit,LAG,A4s,1.8201158131874258,8
Nit,LAG,KJo,1.8360501669958578,8
Nit,LAG,K5s,1.80655356382944,8
Nit,LAG,A6s,1.6892375285084622,8
Nit,LAG,K9o,1.7457039279266913,8
Nit,LAG,A3s,1.6875358014027073,8
Nit,LAG,44,1.6947552497301521,8
Nit,LAG,KQo,1.782316844444447,8
Nit,LAG,K7s,1.832440442832135,8
Nit,LAG,Q8s,1.6823790525973896,8
Nit,LAG,A5o,1.8095444781365244,8
Nit,LAG,Q5s,1.8004170327511124,8
Nit,LAG,A4o,1.7665371931001745,8
Nit,LAG,Q9o,1.6302958896636803,8
Nit,LAG,QTo,1.773808208915673,8
Nit,LAG,Q9s,1.7398768017766824,8
Nit,LAG,A6o,1.7893815903077326,8
Nit,LAG,A2s,1.8435790202516213,8
Nit,LAG,JTs,1.6832041324062403,8
Nit,LAG,K4o,1.733121460841716,8
Nit,LAG,K6s,1.7711782670249607,8
Nit,LAG,K8o,1.7352872953399494,8
Nit,LAG,K7o,1.8316669305113376,8
Nit,LAG,J9o,1.6870716940102288,8
Nit,LAG,J8s,1.7004276734160018,8
Nit,LAG,JTo,1.6697965855124144,8
Nit,LAG,K4s,1.760142824581581,8
Nit,LAG,K2s,1.850076523746322,8
Nit,LAG,K6o,1.807275508662185,8
Nit,LAG,J9s,1.732812055913397,8
Nit,LAG,K3s,1.7672591379329194,8
Nit,LAG,A3o,1.7254894726098455,8
Nit,LAG,Q6s,1.6812445678602197,8
Nit,LAG,QJo,1.7254894726098455,8
Nit,LAG,33,1.8380097315418777,8
Nit,LAG,Q3s,1.681347702836326,8
Nit,LAG,J7s,1.7285319544049833,8
Nit,LAG,Q6o,1.6739219845566686,8
Nit,LAG,Q7s,1.7802025774342667,8
Nit,LAG,J5s,1.8185172210577776,8
Nit,LAG,J6s,1.7004276734160015,8
Nit,LAG,T9o,1.6308631320322653,8
Nit,LAG,Q7o,1.7195076439956773,8
Nit,LAG,A2o,1.9174236631437709,8
Nit,LAG,K5o,1.857708511978192,8
Nit,LAG,K3o,1.8715285987764436,8
Nit,LAG,Q8o,1.6223544965034913,8
Nit,LAG,T7s,1.7825231143966596,8
Nit,LAG,J8o,1.644631651342464,8
Nit,LAG,97s,1.6918674703991743,8
Nit,LAG,T8s,1.6812445678602197,8
Nit,LAG,Q4s,1.7403409091691604,8
Nit,LAG,J4s,1.692692550208025,8
Nit,LAG,J3s,1.6325648591380206,8
Nit,LAG,96s,1.6941880073615672,8
Nit,LAG,J7o,1.6671666436217025,8
Nit,LAG,Q5o,1.7418879338107556,8
Nit,LAG,J4o,1.5757374873034196,8
Nit,LAG,98s,1.6921768753274935,8
Nit,LAG,T9s,1.7407534490735863,8
Nit,LAG,K2o,1.8564708922649156,8
