gap_quartile,passive_gap,raise_share,pfr,threebet_pct,bb_per_100,n_players,strategy_interpretation
0,0.01860027012363151,0.8470837416693688,0.10412787928601938,0.042824014938244385,6.680874435175666,155,most_raise_oriented
1,0.03904544748863954,0.702911695067918,0.10382185999382386,0.035711357993035965,5.504282752026665,154,middle
2,0.0625835749908207,0.6003574040870439,0.10401841254320063,0.0317499573636757,5.5873143453242085,150,middle
3,0.1168233237159144,0.4608211155642254,0.10215881457183779,0.029872588431707387,4.105679641444497,155,most_passive
