player,n_events,raw_rate,shrunk_rate
+1ZZr79prGVk2P5GwxAEQQ,10,0.6,0.4839313563396302
+1bGEULmXVGNDhi0z+MY/w,112,0.41964285714285715,0.4250510862928536
+1e7ZVI1NdRD9O52TIRbEw,50,0.3,0.3544656781698151
+1hZr3nQBmzvTAN4xHbcQQ,28,0.5,0.47167679747560703
+1lBeh4XLPcZ6EODjIwkYA,1,1.0,0.4631372339866196
+1nCj9TI0uheCZNJSBowew,1,1.0,0.4631372339866196
+1te4JGE8zQSzoxQx4byAg,13,0.5384615384615384,0.4734245175252374
+20EA83cd1LHj4zs4glJ8w,1,1.0,0.4631372339866196
+22PIVh/siBz9baRAowpoA,1,1.0,0.4631372339866196
+243ZE4OAGaYu0aReNY7Gw,2,1.0,0.4799141954245377
+27tBkRxVnI/gSnG3s/APg,25,0.68,0.5519500773379129
+2JmCYcyV7F+O3nELVtS0g,1,1.0,0.4631372339866196
+2N8U1WfCs4z0TDJ64BMJg,1,1.0,0.4631372339866196
+2Pe2pI8ZbXT6tXwsBI6tQ,2,1.0,0.4799141954245377
+2UzUMijhMcUrQnsbAGt9w,2,0.0,0.4174141954245377
+2dVmor8hXFO6+vInalzeQ,11,0.9090909090909091,0.5696891281362245
+2dvudY2K/Zgpv4mz5RtHg,3,0.3333333333333333,0.43506831071470325
+2eUCLHatoIqHsW76FB5kA,3,0.3333333333333333,0.43506831071470325
+2fs1ZG3/lQfKrJ7kgoWgg,5,0.6,0.4673501215310059
+2kMBNpY4nF1qNCRd8SJLA,93,0.3548387096774194,0.3768882459641074
+2oSs2siQX0PkDT24qOyVA,2,0.5,0.4486641954245377
+2oiDiS9YCBe2gL1upSbTA,3,0.6666666666666666,0.46537134101773353
+2pKdXAHOUBcJOz5W1eCJg,1,0.0,0.43087916947049054
+2r8yB8mKE8B1SVAr7BsKQ,1,1.0,0.4631372339866196
+2udrxa+Edu+/81sVFG2VQ,2,0.5,0.4486641954245377
+2ukheKva04p46sstZmzSw,5,1.0,0.524492978673863
+2xEjI+MnYsdhOWtAfuoXw,14,0.5,0.4626648693996638
+2xV68fIdrgOxkVepviH9g,1,1.0,0.4631372339866196
+3+XRv5S5ZBXbZiRusirXg,7,0.42857142857142855,0.44208795279960017
+36hGw3P8ealYu7gKC+u5w,9,0.2222222222222222,0.3937757500919284
+37Q3ykQNZQ8kA2J9iCxNg,3,1.0,0.49567437132076386
+3HgkO0GEf/z9Di2OTtclw,2,1.0,0.4799141954245377
+3JkD511r/jHm7OJGTWwSQ,1,0.0,0.43087916947049054
+3Q6OGtYAz9w2BBvi3fJpA,8,0.5,0.4567698487785581
+3Q7tgiDvd7SXJlMHRU1yw,1,1.0,0.4631372339866196
+3RCI0J6fggmxTDo7VC6cw,3,0.3333333333333333,0.43506831071470325
+3T2jp95KmwW7D/jhRui7Q,2,1.0,0.4799141954245377
+3Tkvtb/37R1sTppgo6/2g,2,0.5,0.4486641954245377
+3XSLeqZxewBV0wZTIuuzg,1,1.0,0.4631372339866196
+3aHL9kXqb4TnL0VubHMpA,4,0.5,0.45168394863485906
+3fr7bK06zvcaDFy1zFOqA,5,0.6,0.4673501215310059
+3hpaNAg7J9M7XDqf+3ukw,2,0.0,0.4174141954245377
+3kBR+o5guKku5v1ZifR9w,2,1.0,0.4799141954245377
+3lhkWtb+m83u22InBmUew,1,1.0,0.4631372339866196
+3mS+QiVXqIm2K65YBV45w,2,0.5,0.4486641954245377
+3nopoMtjajfbwZj5LOLDA,1,0.0,0.43087916947049054
+3xDNebIoyLnX51IT4o7RQ,12,0.3333333333333333,0.4132679584186954
+3zSBU3xYaCu1T/1Mu3G3Q,35,0.4,0.42088083467054166
+43AkYmGblLwyrpBDc+BTA,1,1.0,0.4631372339866196
+48SQYvFl/CCcG9BW77cLA,31,0.5483870967741935,0.4976599057964788
+4DTvV4mR7V1ufg0b8/JiQ,2,1.0,0.4799141954245377
+4F9EnUraKhr5LsCSM74ww,16,0.5625,0.4860272663822871
+4Fq15H3diYvLPtcMeJ3MA,3,0.6666666666666666,0.46537134101773353
