player,n_events,raw_rate,shrunk_rate
+5Ps+cZDX+5MeZKtUUKpEw,16,0.9375,0.8173215421375126
+5YmMno/xSO/14CunxBU5A,2,0.5,0.7373997168226745
+5bAptDF71GaHOqESuzYbA,6,0.5,0.7110219705090439
+5dSUwD+/k2ktlnutSMivw,9,0.7777777777777778,0.7588920753416816
+5ewjme+CDOVHpk8ZQXDyA,1,1.0,0.7611868044621156
+5f17vTZ5rv/8ieqtSbbqw,4,0.75,0.7528467923036937
+5i3ycryou7v4wIzb/2SXg,2,0.5,0.7373997168226745
+5o+0w7RR3iMmwxwpEF9Mg,2,1.0,0.7686497168226745
+5r39F28+OWWv5xdirDGng,1,0.0,0.7289287399459865
+5txwF7eXRCkOnl5cJt/RA,1,1.0,0.7611868044621156
+6/h3fd+JJlVjh4DV6tKKA,1,0.0,0.7289287399459865
+67CfjH1HbHCsuW/mkXdQg,3,1.0,0.7756603314644116
+6NoGNlIGimavuhaw15+rQ,6,1.0,0.7943553038423773
+6W2oNFLXHBuc9c3cy02Sw,1,1.0,0.7611868044621156
+6ZCWU/JmMyb5/gCLbin5w,1,1.0,0.7611868044621156
+6bNUztgY4CnOpsd+6e6IQ,2,1.0,0.7686497168226745
+6gp7cbihJFVn6sqEr4NiA,7,0.42857142857142855,0.6918051604952861
+6tChKpTD1KcFEV78alkyA,2,1.0,0.7686497168226745
+6tQ18UA9X0kt1NI+gUm6Q,1,1.0,0.7611868044621156
+6whQrXFngE8u00M4+4o8w,1,1.0,0.7611868044621156
+6zOetzHAf73dfrpwFNQgQ,14,0.8571428571428571,0.7862907031437633
+7+eRaFpcJnka/QnZOCypQ,1,1.0,0.7611868044621156
+7136ABiFgRJi4w9yugFzg,1,1.0,0.7611868044621156
+747HcvrZgUH2+2ITTje5Q,1,1.0,0.7611868044621156
+7I3lUnNYqYZaeeuDaefdA,2,1.0,0.7686497168226745
+7UuQD4wqpF84Fsl2BmuwQ,2,1.0,0.7686497168226745
+7gCyU8aQAlGE3bs6bZmfw,1,1.0,0.7611868044621156
+7pwmX6a5uwUVEv3A63uuA,3,0.6666666666666666,0.7453573011613813
+8+7r7O1HWMEgXR987V2yQ,7,0.8571428571428571,0.7728862415763671
+8C8ASdtfb+B6JwewY5Wmw,4,0.5,0.7234350275978113
+8G42l+lhwvbcM68S/jxDw,2,1.0,0.7686497168226745
+8IRQMv2G9auUkEymAQt+A,10,0.9,0.7899197734581396
+8KLptL92LxgHk8wtlas2Q,1,1.0,0.7611868044621156
+8OkYWUhGfkDbAtQl/ovYQ,3,0.3333333333333333,0.715054270858351
+8TxxfSSaMcYmKrvfvYnzA,1,1.0,0.7611868044621156
+8UT1dcbMN7xeZiXDIyhCg,1,0.0,0.7289287399459865
+8bP6e9hOxHsFx8Y2FOl5Q,1,1.0,0.7611868044621156
+8llqSTvHksJs44RfS93/Q,2,0.0,0.7061497168226745
+8tT88thWy1c5kyXqfFQPA,8,0.5,0.699915551008568
