player,hands_seen,vpip,pfr,postflop_af,threebet_pct,avg_open_bb,net_bb,clean_hands,bb_per_100
+1bGEULmXVGNDhi0z+MY/w,13800,0.11217391304347826,0.07644927536231884,2.3280839895013123,0.023435346015991176,3.6331958762886596,-115.09999999999988,10868,-1.0590725064409263
+2kMBNpY4nF1qNCRd8SJLA,9430,0.16044538706256628,0.07211028632025451,2.6213991769547325,0.03161592505854801,4.361538461538461,408.1,7315,5.578947368421052
+5Ps+cZDX+5MeZKtUUKpEw,9830,0.1531027466937945,0.1372329603255341,3.3618090452261304,0.0397989107666527,4.255067837190743,-987.0,7777,-12.691269126912692
+8IRQMv2G9auUkEymAQt+A,5490,0.19508196721311474,0.14954462659380693,3.711764705882353,0.07318695941450433,4.093352192362094,2119.6,4176,50.75670498084291
+DCR8+nns6rI9aagG7YDUw,26833,0.07904446017962956,0.046994372600901876,1.9539473684210527,0.03042198233562316,6.166153846153846,-893.2666666666668,20527,-4.351666910248291
+I9+Q5UBvmMiQG4o65FO/g,6299,0.09557072551198603,0.04889665026194634,1.6573033707865168,0.01639344262295082,4.041007194244605,-764.9,4789,-15.972019210691167
+VzHgW7eMbD+/0PoGc2/6Q,6597,0.08291647718659997,0.06715173563741095,2.4680851063829787,0.025841346153846152,4.921804511278196,40.50000000000004,5149,0.78656049718392
+d30VMQCgVopi1ad8lbxTQ,7912,0.11627906976744186,0.09314964610717896,2.9423076923076925,0.02783109404990403,3.6076923076923078,449.7000000000001,6294,7.144899904671116
+hDs7Ei5JknOSC1wdoTz/w,6499,0.15987074934605325,0.10909370672411141,2.9348837209302325,0.021831735889243878,3.106287425149701,408.80000000000007,4905,8.33435270132518
+mfllgTBT6cBVMZIhRqg8g,18213,0.15461483555701971,0.11898094767473782,2.9753521126760565,0.04492296268795248,3.0686753246753247,904.9000000000001,14011,6.458496895296554
+oASMsVwjy/wDO/3OoX+SQ,12810,0.2959406713505074,0.21756440281030445,2.4180024660912456,0.036884188805777665,inf,1327.0000000000002,9992,13.280624499599682
