responder,bettor,n_events,fold_pct_first_half,fold_pct_second_half,fold_pct_delta,call_pct_first_half,call_pct_second_half,raise_pct_first_half,raise_pct_second_half,fold_shift_pvalue
fxMxUpEBZ0A2SmzAhnOfTg,vwyOvmLDwyJlvqi0KmlhQw,95,0.9361702127659575,0.8125,-0.12367021276595747,0.02127659574468085,0.14583333333333334,0.0425531914893617,0.041666666666666664,0.1322554097446677
A7HYt6O9V43zHPfctvan1A,GDcZAT1VWAIDRUk3G1WRQQ,57,0.7857142857142857,0.9310344827586207,0.14532019704433496,0.21428571428571427,0.06896551724137931,0.0,0.0,0.23104310297134242
vWwwFVQNDRrc1S3yPeVmAg,ce6CDToh3iAQgbSE/Jzv3Q,72,1.0,0.9166666666666666,-0.08333333333333337,0.0,0.0,0.0,0.08333333333333333,0.23818494999201903
GDcZAT1VWAIDRUk3G1WRQQ,A7HYt6O9V43zHPfctvan1A,55,0.8888888888888888,0.75,-0.13888888888888884,0.07407407407407407,0.21428571428571427,0.037037037037037035,0.03571428571428571,0.32442391457192177
6RiVTYll/5D8zICp0MRpKw,80IuAS7RweimOYh643WA4A,48,1.0,0.9166666666666666,-0.08333333333333337,0.0,0.08333333333333333,0.0,0.0,0.4701007598741287
vbsJNEaSyMLPiLvbEq6ZvA,7/lGdfcaBuMpBBCLs7e+Eg,62,0.9354838709677419,1.0,0.06451612903225812,0.0,0.0,0.06451612903225806,0.0,0.4722670611152304
80IuAS7RweimOYh643WA4A,ce6CDToh3iAQgbSE/Jzv3Q,74,0.9459459459459459,1.0,0.05405405405405406,0.0,0.0,0.05405405405405406,0.0,0.4734602144942245
e2TGQXxC2+TGDuZ/UzPLMg,vWwwFVQNDRrc1S3yPeVmAg,130,0.9692307692307692,1.0,0.03076923076923077,0.0,0.0,0.03076923076923077,0.0,0.47608734444121403
zDrucyjVn5aeekNEc3cJrA,aNpwfA31EREwO+ar4XzBCw,50,0.96,0.88,-0.07999999999999996,0.04,0.08,0.0,0.04,0.6021675277481958
80IuAS7RweimOYh643WA4A,vWwwFVQNDRrc1S3yPeVmAg,178,0.9775280898876404,0.9550561797752809,-0.022471910112359494,0.02247191011235955,0.02247191011235955,0.0,0.02247191011235955,0.6779165466325882
7z9orGDJpUnEvIwifKWQCA,vWwwFVQNDRrc1S3yPeVmAg,50,0.88,0.8,-0.07999999999999996,0.12,0.2,0.0,0.0,0.6996756256347048
+DCR8+nns6rI9aagG7YDUw,80IuAS7RweimOYh643WA4A,53,0.8846153846153846,0.9259259259259259,0.04131054131054135,0.11538461538461539,0.07407407407407407,0.0,0.0,0.9646327302377311
ce6CDToh3iAQgbSE/Jzv3Q,80IuAS7RweimOYh643WA4A,49,0.9583333333333334,1.0,0.04166666666666663,0.041666666666666664,0.0,0.0,0.0,0.9835456369577276
80IuAS7RweimOYh643WA4A,32v/n2Oc1DwIrT8h11pOUQ,51,0.96,1.0,0.040000000000000036,0.04,0.0,0.0,0.0,0.9841975262366943
vWwwFVQNDRrc1S3yPeVmAg,e2TGQXxC2+TGDuZ/UzPLMg,113,0.9642857142857143,0.9824561403508771,0.018170426065162837,0.03571428571428571,0.017543859649122806,0.0,0.0,0.9876044825718882
NDQC5c0/1VeQxTYxylyOZw,vWwwFVQNDRrc1S3yPeVmAg,58,0.8275862068965517,0.8275862068965517,0.0,0.13793103448275862,0.13793103448275862,0.034482758620689655,0.034482758620689655,1.0
11UaaEAz5NpGUh7Yu+4+gA,wGigCmBR/9XWkPpvYos3aQ,93,0.8478260869565217,0.851063829787234,0.00323774283071232,0.13043478260869565,0.1276595744680851,0.021739130434782608,0.02127659574468085,1.0
80IuAS7RweimOYh643WA4A,6RiVTYll/5D8zICp0MRpKw,50,0.92,0.96,0.039999999999999925,0.0,0.0,0.08,0.04,1.0
+DCR8+nns6rI9aagG7YDUw,ce6CDToh3iAQgbSE/Jzv3Q,54,1.0,0.9629629629629629,-0.03703703703703709,0.0,0.0,0.0,0.037037037037037035,1.0
k08vJ+RDhbSYcmDdG/D2Zw,80IuAS7RweimOYh643WA4A,48,0.9166666666666666,0.9166666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0
