archetype,position,fold_pct,call_pct,threebet_pct,n_players
LAG,BB,0.7236599262807394,0.22854732418037155,0.047792749538889026,2377
LAG,BTN,0.793866947623829,0.1638243807156198,0.042308671660551224,1679
LAG,CO,0.8070908169242947,0.1576940644830418,0.03521511859266345,1173
LAG,MP,0.7792318350903861,0.19208282165308785,0.02868534325652607,539
LAG,MP+1,0.8565518686068188,0.1184675146586227,0.024980616734558633,303
LAG,SB,0.7904019355659327,0.1665855463979149,0.04301251803615243,2200
LAG,UTG,0.3570957595656758,0.5929409284627772,0.049963311971546985,53
LAG,UTG+1,0.8054407719546784,0.17834942495786826,0.016209803087453265,74
Loose-passive,BB,0.7109497554895937,0.2570448128069813,0.03200543170342488,4625
Loose-passive,BTN,0.7930224149487014,0.18060989856206383,0.026367686489234748,3168
Loose-passive,CO,0.7823251856504279,0.19588301216374784,0.021791802185824296,2330
Loose-passive,MP,0.7069876738038392,0.2731812887245154,0.019831037471645316,1187
Loose-passive,MP+1,0.8178030937730408,0.16645207366831527,0.01574483255864387,837
Loose-passive,SB,0.7783877373184792,0.1940339191718065,0.027578343509714213,4265
Loose-passive,UTG,0.4489005907852042,0.5253178212680145,0.025781587946781228,285
Loose-passive,UTG+1,0.7365857211662048,0.24941075930618273,0.014003519527612404,236
Maniac,BB,0.4452505350004439,0.4526190790410961,0.10213038595845987,341
Maniac,BTN,0.5788950497604681,0.3337288517821821,0.08737609845734977,160
Maniac,CO,0.586211407999125,0.3438449951230011,0.06994359687787392,99
Maniac,MP,0.5267013946555051,0.40807307172585283,0.06522553361864201,43
Maniac,MP+1,0.5580188679245284,0.29481132075471694,0.14716981132075474,2
Maniac,SB,0.5556650984612611,0.35524816678900517,0.08908673474973383,286
Maniac,UTG,0.35281385281385286,0.5725108225108225,0.07467532467532467,3
Nit,BB,0.9029132192863918,0.06623523060949663,0.030851550104111645,1627
Nit,BTN,0.9265198666650486,0.04661259397697334,0.026867539357978067,1457
Nit,CO,0.9312540965644819,0.044867948260031675,0.023877955175486427,1305
Nit,MP,0.9158118966495005,0.06207373780937535,0.022114365541124194,933
Nit,MP+1,0.9329722943859696,0.04422668830751912,0.022801017306511216,991
Nit,SB,0.9267233858016043,0.04440785237157543,0.028868761826820265,1579
Nit,UTG,0.39526980711788157,0.5549276440299556,0.04980254885216277,60
Nit,UTG+1,0.9006299461807311,0.07879284152713,0.02057721229213884,412
Station,BB,0.5352835290732544,0.4261696792937436,0.03854679163300208,4171
Station,BTN,0.632855191004796,0.3357289905695374,0.031415818425666535,2539
Station,CO,0.5892488617132985,0.3837768542958537,0.02697428399084793,1867
Station,MP,0.4894981690270786,0.4840912717256136,0.026410559247307775,1029
Station,MP+1,0.6248448724223253,0.35333063254537084,0.021824495032303836,272
Station,SB,0.6111287636202204,0.3556162014124475,0.033255034967332134,3735
Station,UTG,0.381800296034843,0.591987877994488,0.02621182597066898,307
Station,UTG+1,0.539981682903534,0.4431031733584156,0.016915143738050295,39
TAG,BB,0.8269455843452267,0.12395477058695104,0.04909964506782225,2116
TAG,BTN,0.8543934539352596,0.0990805970213435,0.04652594904339701,1837
TAG,CO,0.8760819661023599,0.08619202925403383,0.037726004643606384,1502
TAG,MP,0.8802470232179914,0.08883539054428388,0.03091758623772468,915
TAG,MP+1,0.9004263805482351,0.07103351958499166,0.028540099866773205,296
TAG,SB,0.870119475237979,0.08180207608335936,0.04807844867866168,2043
TAG,UTG,0.4961545415565543,0.485093685939433,0.018751772504012647,18
TAG,UTG+1,0.8849822753189,0.09250020643332102,0.02251751824777908,85
