archetype,bettor_had_initiative,n,fold_pct,call_pct,raise_pct
LAG,False,256447,0.5139853458999325,0.36613023353753404,0.11988442056253339
LAG,True,125822,0.4538157079048179,0.4015752412137782,0.14460905088140388
Loose-passive,False,459780,0.5291073991909174,0.37313715255122015,0.09775544825786246
Loose-passive,True,220279,0.4622365273130893,0.41379341653085405,0.12397005615605663
Maniac,False,158133,0.44488500186551827,0.41188746182011343,0.1432275363143683
Maniac,True,102839,0.457394568208559,0.40183198980931356,0.1407734419821274
Nit,False,245782,0.6462108697951844,0.2561050036210951,0.09768412658372053
Nit,True,60105,0.5097412860826886,0.34532900757008567,0.14492970634722568
Station,False,366725,0.4460672165791806,0.4563746676665076,0.09755811575431181
Station,True,242997,0.4315979209619872,0.4677794376062256,0.10062264143178723
TAG,False,355111,0.5859829743376015,0.3038430237306082,0.11017400193179035
TAG,True,122734,0.4927485456352763,0.3644140987827334,0.14283735558199032
